time_of_info,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y
840,0,2,5,6,0,0,0,0,0,0,0,0,0,0,1,1
840,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1
840,1,0,4,8,0,0,0,0,0,0,0,0,0,0,1,1
840,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2
855,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,2
855,0,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1
855,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1
855,2,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1
855,9,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2
870,2,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2
870,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,2
870,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2
870,2,0,2,5,0,0,0,0,0,0,0,0,0,0,1,1
870,10,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2
885,1,4,0,3,0,0,0,0,0,0,0,0,0,1,0,2
885,0,2,3,4,0,0,0,0,0,0,0,0,0,1,0,1
885,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2
885,1,0,4,7,0,0,0,0,0,0,0,0,0,1,0,1
885,9,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
900,1,4,0,3,0,0,0,0,0,0,0,0,0,1,0,2
900,0,1,3,6,0,0,0,0,0,0,0,0,0,1,0,1
900,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
900,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,1
900,5,2,4,0,0,0,0,0,0,0,0,0,0,1,0,2
915,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2
915,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1
915,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
915,1,0,3,8,0,0,0,0,0,0,0,0,0,0,1,1
915,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2
930,6,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
930,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
930,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1
930,1,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1
930,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2
945,4,6,0,1,0,0,0,0,0,0,0,0,0,1,0,2
945,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1
945,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2
945,1,0,2,4,0,0,0,0,0,0,0,0,0,1,0,1
945,8,3,2,0,0,0,0,0,0,0,0,0,0,1,0,2
960,1,4,0,3,0,0,0,0,0,0,0,0,0,1,0,2
960,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1
960,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,2
960,1,0,3,6,0,0,0,0,0,0,0,0,0,1,0,1
960,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2
975,3,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2
975,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,1
975,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
975,1,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1
975,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2
990,5,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
990,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1
990,1,1,4,4,0,0,0,0,0,0,0,0,0,0,1,1
990,3,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1
990,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2
1005,5,7,0,1,0,0,0,0,0,0,0,0,0,1,0,2
1005,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1
1005,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2
1005,2,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1
1005,6,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2
1020,1,6,0,3,0,0,0,0,0,0,0,0,0,1,0,2
1020,0,1,2,4,0,0,0,0,0,0,0,0,0,1,0,1
1020,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
1020,1,0,6,5,0,0,0,0,0,0,0,0,0,1,0,1
1020,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1
1035,2,5,0,4,0,0,0,0,0,0,0,0,0,1,0,2
1035,0,3,3,6,0,0,0,0,0,0,0,0,0,1,0,1
1035,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1
1035,3,0,8,7,0,0,0,0,0,0,0,0,0,1,0,1
1035,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1
1050,4,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
